,Year,position,team,matches,wins,draws,loses,scored,missed,pts
100,2019,1,Liverpool,29,27,1,1,66,21,82
101,2019,2,Manchester City,29,19,3,7,71,31,60
102,2019,3,Leicester,29,16,5,8,58,28,53
103,2019,4,Chelsea,29,14,6,9,51,39,48
104,2019,5,Manchester United,29,12,9,8,44,30,45
105,2019,6,Sheffield United,29,11,11,7,30,25,44
106,2019,7,Wolverhampton Wanderers,29,10,13,6,41,34,43
107,2019,8,Tottenham,29,11,8,10,47,40,41
108,2019,9,Arsenal,29,9,13,7,40,39,40
109,2019,10,Crystal Palace,29,10,9,10,26,32,39
110,2019,11,Burnley,29,11,6,12,34,40,39
111,2019,12,Everton,29,10,7,12,37,46,37
112,2019,13,Southampton,30,11,4,15,38,52,37
113,2019,14,Newcastle United,29,9,8,12,25,41,35
114,2019,15,Brighton,29,6,11,12,32,40,29
115,2019,16,West Ham,29,7,6,16,35,50,27
116,2019,17,Watford,29,6,9,14,27,44,27
117,2019,18,Bournemouth,29,7,6,16,29,47,27
118,2019,19,Aston Villa,29,7,5,17,34,56,26
119,2019,20,Norwich,30,5,6,19,25,55,21
